text,label
a viral WhatsApp forward predicts mobile SIM verification rules will be enforced across India starting next month.,0
Election Commission of India notified railway ticket booking reforms after detailed review and official confirmation.,1
a viral Instagram reel predicts Aadhaar data protection policy will be enforced across India starting next month.,0
Central Board of Direct Taxes presented electric vehicle subsidy scheme after detailed review and official confirmation.,1
a YouTube video without sources reveals 5G rollout policy will be enforced across India starting next month.,0
Indian Meteorological Department approved startup funding incentives after detailed review and official confirmation.,1
a viral WhatsApp forward warns 5G rollout policy will be enforced across India starting next month.,0
Press Information Bureau updated GST compliance rules after detailed review and official confirmation.,1
a misleading online blog asserts without evidence that Aadhaar data protection policy will be enforced across India starting next month.,0
Ministry of Education updated new education policy implementation after detailed review and official confirmation.,1
an anonymous Telegram message misleads saying inflation rate report will be enforced across India starting next month.,0
Ministry of Education launched public healthcare insurance scheme after detailed review and official confirmation.,1
a fake news website asserts without evidence that minimum support price revision will be enforced across India starting next month.,0
Indian Railways notified Chandrayaan mission update after detailed review and official confirmation.,1
a viral WhatsApp forward circulates claim that defence procurement policy will be enforced across India starting next month.,0
Indian Railways confirmed defence procurement policy after detailed review and official confirmation.,1
a fake news website falsely states monsoon forecast by IMD will be enforced across India starting next month.,0
Election Commission of India released UPI transaction guidelines after detailed review and official confirmation.,1
a fake news website misleads saying new income tax rules will be enforced across India starting next month.,0
NITI Aayog announced startup funding incentives after detailed review and official confirmation.,1
a YouTube video without sources claims 5G rollout policy will be enforced across India starting next month.,0
Ministry of Education launched minimum support price revision after detailed review and official confirmation.,1
a viral WhatsApp forward reveals GST compliance rules will be enforced across India starting next month.,0
Reserve Bank of India ratified UPI transaction guidelines after detailed review and official confirmation.,1
a forwarded social media message spreads rumor that new education policy implementation will be enforced across India starting next month.,0
NITI Aayog approved public healthcare insurance scheme after detailed review and official confirmation.,1
a viral Instagram reel claims fuel price regulation will be enforced across India starting next month.,0
Election Commission of India updated inflation rate report after detailed review and official confirmation.,1
a misleading online blog falsely states bank KYC norms will be enforced across India starting next month.,0
Election Commission of India published 5G rollout policy after detailed review and official confirmation.,1
an unverified Facebook post warns GST compliance rules will be enforced across India starting next month.,0
ISRO reviewed inflation rate report after detailed review and official confirmation.,1
a viral WhatsApp forward reveals electric vehicle subsidy scheme will be enforced across India starting next month.,0
Reserve Bank of India reviewed employment data release after detailed review and official confirmation.,1
a YouTube video without sources spreads rumor that agricultural subsidy reforms will be enforced across India starting next month.,0
Government of India approved inflation rate report after detailed review and official confirmation.,1
a viral Instagram reel misleads saying digital rupee pilot project will be enforced across India starting next month.,0
Securities and Exchange Board of India announced railway ticket booking reforms after detailed review and official confirmation.,1
an unverified Facebook post claims new income tax rules will be enforced across India starting next month.,0
Indian Meteorological Department approved national highway expansion project after detailed review and official confirmation.,1
a YouTube video without sources circulates claim that bank KYC norms will be enforced across India starting next month.,0
Reserve Bank of India announced Chandrayaan mission update after detailed review and official confirmation.,1
a fake news website claims national highway expansion project will be enforced across India starting next month.,0
Securities and Exchange Board of India released new income tax rules after detailed review and official confirmation.,1
a misleading online blog spreads rumor that electric vehicle subsidy scheme will be enforced across India starting next month.,0
Securities and Exchange Board of India implemented fuel price regulation after detailed review and official confirmation.,1
a fake news website leaks railway ticket booking reforms will be enforced across India starting next month.,0
Ministry of Education introduced Chandrayaan mission update after detailed review and official confirmation.,1
a forwarded social media message circulates claim that startup funding incentives will be enforced across India starting next month.,0
Ministry of Education ratified employment data release after detailed review and official confirmation.,1
a misleading online blog spreads rumor that inflation rate report will be enforced across India starting next month.,0
Ministry of Finance clarified pension scheme updates after detailed review and official confirmation.,1
a YouTube video without sources leaks defence procurement policy will be enforced across India starting next month.,0
Central Board of Direct Taxes ratified Aadhaar data protection policy after detailed review and official confirmation.,1
a forwarded social media message asserts without evidence that new income tax rules will be enforced across India starting next month.,0
Reserve Bank of India reviewed national highway expansion project after detailed review and official confirmation.,1
a forwarded social media message warns inflation rate report will be enforced across India starting next month.,0
Indian Railways presented public healthcare insurance scheme after detailed review and official confirmation.,1
a forwarded social media message misleads saying bank KYC norms will be enforced across India starting next month.,0
Election Commission of India ratified inflation rate report after detailed review and official confirmation.,1
a viral WhatsApp forward asserts without evidence that bank KYC norms will be enforced across India starting next month.,0
Indian Meteorological Department launched GST compliance rules after detailed review and official confirmation.,1
an unverified Facebook post claims UPI transaction guidelines will be enforced across India starting next month.,0
Indian Railways published 5G rollout policy after detailed review and official confirmation.,1
a viral WhatsApp forward spreads rumor that 5G rollout policy will be enforced across India starting next month.,0
Ministry of Health and Family Welfare released UPI transaction guidelines after detailed review and official confirmation.,1
a misleading online blog circulates claim that employment data release will be enforced across India starting next month.,0
Election Commission of India clarified Chandrayaan mission update after detailed review and official confirmation.,1
a forwarded social media message leaks pension scheme updates will be enforced across India starting next month.,0
Reserve Bank of India clarified electric vehicle subsidy scheme after detailed review and official confirmation.,1
an unverified Facebook post leaks UPI transaction guidelines will be enforced across India starting next month.,0
Ministry of Finance introduced fuel price regulation after detailed review and official confirmation.,1
a fake news website falsely states GST compliance rules will be enforced across India starting next month.,0
Indian Meteorological Department approved fuel price regulation after detailed review and official confirmation.,1
a forwarded social media message reveals monsoon forecast by IMD will be enforced across India starting next month.,0
Indian Meteorological Department announced bank KYC norms after detailed review and official confirmation.,1
a forwarded social media message asserts without evidence that electric vehicle subsidy scheme will be enforced across India starting next month.,0
Press Information Bureau outlined cybersecurity advisory after detailed review and official confirmation.,1
a viral WhatsApp forward warns agricultural subsidy reforms will be enforced across India starting next month.,0
Ministry of Health and Family Welfare published railway ticket booking reforms after detailed review and official confirmation.,1
a fake news website spreads rumor that electric vehicle subsidy scheme will be enforced across India starting next month.,0
Reserve Bank of India clarified startup funding incentives after detailed review and official confirmation.,1
a YouTube video without sources asserts without evidence that pension scheme updates will be enforced across India starting next month.,0
Central Board of Direct Taxes clarified Aadhaar data protection policy after detailed review and official confirmation.,1
a forwarded social media message warns minimum support price revision will be enforced across India starting next month.,0
Indian Railways reviewed Chandrayaan mission update after detailed review and official confirmation.,1
a forwarded social media message claims agricultural subsidy reforms will be enforced across India starting next month.,0
Government of India confirmed public healthcare insurance scheme after detailed review and official confirmation.,1
a fake news website warns startup funding incentives will be enforced across India starting next month.,0
Central Board of Direct Taxes outlined employment data release after detailed review and official confirmation.,1
an unverified Facebook post claims fuel price regulation will be enforced across India starting next month.,0
Ministry of Education reviewed new education policy implementation after detailed review and official confirmation.,1
a forwarded social media message misleads saying defence procurement policy will be enforced across India starting next month.,0
Ministry of Finance outlined inflation rate report after detailed review and official confirmation.,1
a viral Instagram reel misleads saying employment data release will be enforced across India starting next month.,0
Ministry of Education approved inflation rate report after detailed review and official confirmation.,1
a viral WhatsApp forward leaks Chandrayaan mission update will be enforced across India starting next month.,0
Central Board of Direct Taxes notified fuel price regulation after detailed review and official confirmation.,1
an anonymous Telegram message predicts inflation rate report will be enforced across India starting next month.,0
Press Information Bureau introduced new education policy implementation after detailed review and official confirmation.,1
an unverified Facebook post reveals fuel price regulation will be enforced across India starting next month.,0
Ministry of Education implemented defence procurement policy after detailed review and official confirmation.,1
a forwarded social media message predicts Gaganyaan human spaceflight program will be enforced across India starting next month.,0
Indian Meteorological Department introduced new education policy implementation after detailed review and official confirmation.,1
a fake news website asserts without evidence that digital rupee pilot project will be enforced across India starting next month.,0
NITI Aayog outlined agricultural subsidy reforms after detailed review and official confirmation.,1
a YouTube video without sources falsely states monsoon forecast by IMD will be enforced across India starting next month.,0
Telecom Regulatory Authority of India approved Gaganyaan human spaceflight program after detailed review and official confirmation.,1
a forwarded social media message falsely states mobile SIM verification rules will be enforced across India starting next month.,0
Central Board of Direct Taxes reviewed new income tax rules after detailed review and official confirmation.,1
a misleading online blog claims Aadhaar data protection policy will be enforced across India starting next month.,0
ISRO confirmed public healthcare insurance scheme after detailed review and official confirmation.,1
a forwarded social media message circulates claim that employment data release will be enforced across India starting next month.,0
NITI Aayog confirmed fuel price regulation after detailed review and official confirmation.,1
a fake news website asserts without evidence that defence procurement policy will be enforced across India starting next month.,0
Ministry of Health and Family Welfare implemented cybersecurity advisory after detailed review and official confirmation.,1
a misleading online blog spreads rumor that Gaganyaan human spaceflight program will be enforced across India starting next month.,0
Reserve Bank of India approved railway ticket booking reforms after detailed review and official confirmation.,1
a YouTube video without sources claims Chandrayaan mission update will be enforced across India starting next month.,0
ISRO approved UPI transaction guidelines after detailed review and official confirmation.,1
an anonymous Telegram message falsely states UPI transaction guidelines will be enforced across India starting next month.,0
Securities and Exchange Board of India approved new education policy implementation after detailed review and official confirmation.,1
an unverified Facebook post reveals national highway expansion project will be enforced across India starting next month.,0
Telecom Regulatory Authority of India clarified digital rupee pilot project after detailed review and official confirmation.,1
a viral WhatsApp forward asserts without evidence that cybersecurity advisory will be enforced across India starting next month.,0
ISRO launched fuel price regulation after detailed review and official confirmation.,1
a YouTube video without sources warns digital rupee pilot project will be enforced across India starting next month.,0
Ministry of Health and Family Welfare clarified minimum support price revision after detailed review and official confirmation.,1
a viral Instagram reel spreads rumor that electric vehicle subsidy scheme will be enforced across India starting next month.,0
Ministry of Finance approved minimum support price revision after detailed review and official confirmation.,1
a YouTube video without sources misleads saying digital rupee pilot project will be enforced across India starting next month.,0
Supreme Court of India released defence procurement policy after detailed review and official confirmation.,1
a misleading online blog misleads saying 5G rollout policy will be enforced across India starting next month.,0
Indian Meteorological Department introduced defence procurement policy after detailed review and official confirmation.,1
a viral Instagram reel asserts without evidence that 5G rollout policy will be enforced across India starting next month.,0
Press Information Bureau outlined GST compliance rules after detailed review and official confirmation.,1
a viral Instagram reel spreads rumor that new income tax rules will be enforced across India starting next month.,0
Government of India reviewed Gaganyaan human spaceflight program after detailed review and official confirmation.,1
a fake news website falsely states public healthcare insurance scheme will be enforced across India starting next month.,0
Ministry of Finance approved defence procurement policy after detailed review and official confirmation.,1
a viral Instagram reel leaks Aadhaar data protection policy will be enforced across India starting next month.,0
NITI Aayog announced GST compliance rules after detailed review and official confirmation.,1
a viral Instagram reel warns Gaganyaan human spaceflight program will be enforced across India starting next month.,0
Election Commission of India ratified defence procurement policy after detailed review and official confirmation.,1
an unverified Facebook post warns national highway expansion project will be enforced across India starting next month.,0
Election Commission of India approved electric vehicle subsidy scheme after detailed review and official confirmation.,1
a fake news website reveals electric vehicle subsidy scheme will be enforced across India starting next month.,0
Central Board of Direct Taxes implemented defence procurement policy after detailed review and official confirmation.,1
an unverified Facebook post leaks pension scheme updates will be enforced across India starting next month.,0
Securities and Exchange Board of India ratified Chandrayaan mission update after detailed review and official confirmation.,1
an anonymous Telegram message predicts bank KYC norms will be enforced across India starting next month.,0
Telecom Regulatory Authority of India approved Aadhaar data protection policy after detailed review and official confirmation.,1
a fake news website spreads rumor that new income tax rules will be enforced across India starting next month.,0
Government of India clarified monsoon forecast by IMD after detailed review and official confirmation.,1
a viral WhatsApp forward reveals fuel price regulation will be enforced across India starting next month.,0
Government of India outlined electric vehicle subsidy scheme after detailed review and official confirmation.,1
an unverified Facebook post claims mobile SIM verification rules will be enforced across India starting next month.,0
Election Commission of India presented UPI transaction guidelines after detailed review and official confirmation.,1
a misleading online blog leaks pension scheme updates will be enforced across India starting next month.,0
NITI Aayog ratified employment data release after detailed review and official confirmation.,1
a viral WhatsApp forward falsely states Aadhaar data protection policy will be enforced across India starting next month.,0
Indian Meteorological Department confirmed startup funding incentives after detailed review and official confirmation.,1
a misleading online blog warns Aadhaar data protection policy will be enforced across India starting next month.,0
Indian Railways implemented railway ticket booking reforms after detailed review and official confirmation.,1
a fake news website predicts Gaganyaan human spaceflight program will be enforced across India starting next month.,0
NITI Aayog launched 5G rollout policy after detailed review and official confirmation.,1
a misleading online blog warns pension scheme updates will be enforced across India starting next month.,0
Indian Meteorological Department ratified employment data release after detailed review and official confirmation.,1
an anonymous Telegram message leaks mobile SIM verification rules will be enforced across India starting next month.,0
Government of India clarified new income tax rules after detailed review and official confirmation.,1
an unverified Facebook post reveals Aadhaar data protection policy will be enforced across India starting next month.,0
Securities and Exchange Board of India notified public healthcare insurance scheme after detailed review and official confirmation.,1
a misleading online blog leaks Chandrayaan mission update will be enforced across India starting next month.,0
Supreme Court of India confirmed Gaganyaan human spaceflight program after detailed review and official confirmation.,1
a viral Instagram reel claims defence procurement policy will be enforced across India starting next month.,0
Press Information Bureau implemented 5G rollout policy after detailed review and official confirmation.,1
a viral Instagram reel falsely states employment data release will be enforced across India starting next month.,0
NITI Aayog updated pension scheme updates after detailed review and official confirmation.,1
a misleading online blog reveals monsoon forecast by IMD will be enforced across India starting next month.,0
Central Board of Direct Taxes introduced digital rupee pilot project after detailed review and official confirmation.,1
an unverified Facebook post falsely states Chandrayaan mission update will be enforced across India starting next month.,0
Ministry of Finance published GST compliance rules after detailed review and official confirmation.,1
a viral WhatsApp forward warns bank KYC norms will be enforced across India starting next month.,0
ISRO published Gaganyaan human spaceflight program after detailed review and official confirmation.,1
a forwarded social media message spreads rumor that railway ticket booking reforms will be enforced across India starting next month.,0
Supreme Court of India ratified Aadhaar data protection policy after detailed review and official confirmation.,1
a forwarded social media message spreads rumor that mobile SIM verification rules will be enforced across India starting next month.,0
ISRO outlined GST compliance rules after detailed review and official confirmation.,1
a misleading online blog spreads rumor that pension scheme updates will be enforced across India starting next month.,0
Central Board of Direct Taxes published monsoon forecast by IMD after detailed review and official confirmation.,1
a viral Instagram reel circulates claim that inflation rate report will be enforced across India starting next month.,0
NITI Aayog launched pension scheme updates after detailed review and official confirmation.,1
an unverified Facebook post circulates claim that cybersecurity advisory will be enforced across India starting next month.,0
ISRO ratified employment data release after detailed review and official confirmation.,1
a viral Instagram reel warns public healthcare insurance scheme will be enforced across India starting next month.,0
Indian Meteorological Department outlined UPI transaction guidelines after detailed review and official confirmation.,1
a forwarded social media message falsely states Aadhaar data protection policy will be enforced across India starting next month.,0
Reserve Bank of India outlined startup funding incentives after detailed review and official confirmation.,1
a viral WhatsApp forward falsely states pension scheme updates will be enforced across India starting next month.,0
Indian Meteorological Department published defence procurement policy after detailed review and official confirmation.,1
a forwarded social media message asserts without evidence that bank KYC norms will be enforced across India starting next month.,0
Ministry of Finance notified electric vehicle subsidy scheme after detailed review and official confirmation.,1
a misleading online blog claims public healthcare insurance scheme will be enforced across India starting next month.,0
Ministry of Finance ratified digital rupee pilot project after detailed review and official confirmation.,1
a fake news website warns monsoon forecast by IMD will be enforced across India starting next month.,0
Reserve Bank of India released mobile SIM verification rules after detailed review and official confirmation.,1
an unverified Facebook post warns new income tax rules will be enforced across India starting next month.,0
Indian Railways implemented digital rupee pilot project after detailed review and official confirmation.,1
a misleading online blog circulates claim that cybersecurity advisory will be enforced across India starting next month.,0
Ministry of Education introduced Aadhaar data protection policy after detailed review and official confirmation.,1
a viral WhatsApp forward misleads saying monsoon forecast by IMD will be enforced across India starting next month.,0
Telecom Regulatory Authority of India outlined fuel price regulation after detailed review and official confirmation.,1
a fake news website circulates claim that defence procurement policy will be enforced across India starting next month.,0
Press Information Bureau published inflation rate report after detailed review and official confirmation.,1
a misleading online blog asserts without evidence that defence procurement policy will be enforced across India starting next month.,0
Government of India clarified Gaganyaan human spaceflight program after detailed review and official confirmation.,1
a fake news website falsely states cybersecurity advisory will be enforced across India starting next month.,0
Ministry of Health and Family Welfare confirmed UPI transaction guidelines after detailed review and official confirmation.,1
a forwarded social media message falsely states Chandrayaan mission update will be enforced across India starting next month.,0
Securities and Exchange Board of India implemented monsoon forecast by IMD after detailed review and official confirmation.,1
a forwarded social media message predicts electric vehicle subsidy scheme will be enforced across India starting next month.,0
Ministry of Education ratified digital rupee pilot project after detailed review and official confirmation.,1
a viral Instagram reel warns employment data release will be enforced across India starting next month.,0
Ministry of Education introduced new education policy implementation after detailed review and official confirmation.,1
a fake news website falsely states inflation rate report will be enforced across India starting next month.,0
Ministry of Health and Family Welfare outlined railway ticket booking reforms after detailed review and official confirmation.,1
a viral WhatsApp forward claims electric vehicle subsidy scheme will be enforced across India starting next month.,0
Press Information Bureau confirmed startup funding incentives after detailed review and official confirmation.,1
a forwarded social media message spreads rumor that pension scheme updates will be enforced across India starting next month.,0
ISRO updated Gaganyaan human spaceflight program after detailed review and official confirmation.,1
a viral Instagram reel predicts new income tax rules will be enforced across India starting next month.,0
Reserve Bank of India launched Gaganyaan human spaceflight program after detailed review and official confirmation.,1
an anonymous Telegram message spreads rumor that agricultural subsidy reforms will be enforced across India starting next month.,0
Central Board of Direct Taxes introduced railway ticket booking reforms after detailed review and official confirmation.,1
a fake news website falsely states mobile SIM verification rules will be enforced across India starting next month.,0
Press Information Bureau updated Aadhaar data protection policy after detailed review and official confirmation.,1
an unverified Facebook post claims monsoon forecast by IMD will be enforced across India starting next month.,0
Government of India released bank KYC norms after detailed review and official confirmation.,1
an unverified Facebook post predicts monsoon forecast by IMD will be enforced across India starting next month.,0
Ministry of Education implemented Aadhaar data protection policy after detailed review and official confirmation.,1
a forwarded social media message spreads rumor that startup funding incentives will be enforced across India starting next month.,0
Securities and Exchange Board of India launched Aadhaar data protection policy after detailed review and official confirmation.,1
a viral Instagram reel circulates claim that Gaganyaan human spaceflight program will be enforced across India starting next month.,0
Indian Meteorological Department launched 5G rollout policy after detailed review and official confirmation.,1
a viral Instagram reel misleads saying pension scheme updates will be enforced across India starting next month.,0
Securities and Exchange Board of India reviewed new education policy implementation after detailed review and official confirmation.,1
an unverified Facebook post asserts without evidence that public healthcare insurance scheme will be enforced across India starting next month.,0
Indian Meteorological Department launched railway ticket booking reforms after detailed review and official confirmation.,1
a misleading online blog predicts fuel price regulation will be enforced across India starting next month.,0
Indian Meteorological Department presented UPI transaction guidelines after detailed review and official confirmation.,1
a misleading online blog predicts Gaganyaan human spaceflight program will be enforced across India starting next month.,0
Central Board of Direct Taxes launched electric vehicle subsidy scheme after detailed review and official confirmation.,1
a forwarded social media message misleads saying mobile SIM verification rules will be enforced across India starting next month.,0
Ministry of Finance launched monsoon forecast by IMD after detailed review and official confirmation.,1
a forwarded social media message reveals Gaganyaan human spaceflight program will be enforced across India starting next month.,0
Indian Meteorological Department introduced national highway expansion project after detailed review and official confirmation.,1
a viral WhatsApp forward claims monsoon forecast by IMD will be enforced across India starting next month.,0
Central Board of Direct Taxes published agricultural subsidy reforms after detailed review and official confirmation.,1
an unverified Facebook post falsely states startup funding incentives will be enforced across India starting next month.,0
Press Information Bureau introduced new income tax rules after detailed review and official confirmation.,1
a misleading online blog warns agricultural subsidy reforms will be enforced across India starting next month.,0
Reserve Bank of India confirmed electric vehicle subsidy scheme after detailed review and official confirmation.,1
a forwarded social media message circulates claim that bank KYC norms will be enforced across India starting next month.,0
Supreme Court of India implemented inflation rate report after detailed review and official confirmation.,1
an unverified Facebook post warns Aadhaar data protection policy will be enforced across India starting next month.,0
Securities and Exchange Board of India reviewed Aadhaar data protection policy after detailed review and official confirmation.,1
an unverified Facebook post misleads saying minimum support price revision will be enforced across India starting next month.,0
Indian Railways reviewed inflation rate report after detailed review and official confirmation.,1
an unverified Facebook post predicts national highway expansion project will be enforced across India starting next month.,0
ISRO clarified fuel price regulation after detailed review and official confirmation.,1
an anonymous Telegram message falsely states new income tax rules will be enforced across India starting next month.,0
Supreme Court of India updated defence procurement policy after detailed review and official confirmation.,1
an anonymous Telegram message claims digital rupee pilot project will be enforced across India starting next month.,0
Securities and Exchange Board of India approved monsoon forecast by IMD after detailed review and official confirmation.,1
a fake news website misleads saying digital rupee pilot project will be enforced across India starting next month.,0
NITI Aayog launched bank KYC norms after detailed review and official confirmation.,1
a viral Instagram reel leaks national highway expansion project will be enforced across India starting next month.,0
Supreme Court of India announced agricultural subsidy reforms after detailed review and official confirmation.,1
a viral WhatsApp forward circulates claim that UPI transaction guidelines will be enforced across India starting next month.,0
Press Information Bureau updated agricultural subsidy reforms after detailed review and official confirmation.,1
a misleading online blog asserts without evidence that public healthcare insurance scheme will be enforced across India starting next month.,0
Ministry of Health and Family Welfare presented bank KYC norms after detailed review and official confirmation.,1
an unverified Facebook post reveals electric vehicle subsidy scheme will be enforced across India starting next month.,0
Reserve Bank of India notified new income tax rules after detailed review and official confirmation.,1
an anonymous Telegram message reveals public healthcare insurance scheme will be enforced across India starting next month.,0
Reserve Bank of India notified UPI transaction guidelines after detailed review and official confirmation.,1
an anonymous Telegram message circulates claim that inflation rate report will be enforced across India starting next month.,0
Supreme Court of India outlined pension scheme updates after detailed review and official confirmation.,1
a viral Instagram reel predicts GST compliance rules will be enforced across India starting next month.,0
Securities and Exchange Board of India published electric vehicle subsidy scheme after detailed review and official confirmation.,1
a YouTube video without sources spreads rumor that pension scheme updates will be enforced across India starting next month.,0
Central Board of Direct Taxes reviewed Gaganyaan human spaceflight program after detailed review and official confirmation.,1
a misleading online blog asserts without evidence that fuel price regulation will be enforced across India starting next month.,0
Central Board of Direct Taxes published 5G rollout policy after detailed review and official confirmation.,1
an unverified Facebook post falsely states fuel price regulation will be enforced across India starting next month.,0
Securities and Exchange Board of India confirmed new income tax rules after detailed review and official confirmation.,1
a misleading online blog spreads rumor that bank KYC norms will be enforced across India starting next month.,0
Ministry of Education updated digital rupee pilot project after detailed review and official confirmation.,1
a YouTube video without sources misleads saying startup funding incentives will be enforced across India starting next month.,0
Securities and Exchange Board of India notified 5G rollout policy after detailed review and official confirmation.,1
an anonymous Telegram message spreads rumor that 5G rollout policy will be enforced across India starting next month.,0
ISRO ratified GST compliance rules after detailed review and official confirmation.,1
a misleading online blog circulates claim that new education policy implementation will be enforced across India starting next month.,0
Election Commission of India ratified public healthcare insurance scheme after detailed review and official confirmation.,1
a viral Instagram reel warns railway ticket booking reforms will be enforced across India starting next month.,0
Government of India launched bank KYC norms after detailed review and official confirmation.,1
a viral WhatsApp forward circulates claim that 5G rollout policy will be enforced across India starting next month.,0
NITI Aayog outlined defence procurement policy after detailed review and official confirmation.,1
a viral WhatsApp forward predicts agricultural subsidy reforms will be enforced across India starting next month.,0
Government of India ratified inflation rate report after detailed review and official confirmation.,1
a viral Instagram reel spreads rumor that new education policy implementation will be enforced across India starting next month.,0
Election Commission of India updated startup funding incentives after detailed review and official confirmation.,1
a forwarded social media message predicts inflation rate report will be enforced across India starting next month.,0
ISRO announced monsoon forecast by IMD after detailed review and official confirmation.,1
a fake news website warns Aadhaar data protection policy will be enforced across India starting next month.,0
Government of India confirmed startup funding incentives after detailed review and official confirmation.,1
a viral Instagram reel circulates claim that fuel price regulation will be enforced across India starting next month.,0
NITI Aayog approved new income tax rules after detailed review and official confirmation.,1
a fake news website predicts public healthcare insurance scheme will be enforced across India starting next month.,0
Ministry of Health and Family Welfare updated Chandrayaan mission update after detailed review and official confirmation.,1
a YouTube video without sources spreads rumor that Gaganyaan human spaceflight program will be enforced across India starting next month.,0
Central Board of Direct Taxes introduced inflation rate report after detailed review and official confirmation.,1
a misleading online blog spreads rumor that UPI transaction guidelines will be enforced across India starting next month.,0
Supreme Court of India confirmed railway ticket booking reforms after detailed review and official confirmation.,1
a forwarded social media message reveals public healthcare insurance scheme will be enforced across India starting next month.,0
NITI Aayog published new income tax rules after detailed review and official confirmation.,1
an anonymous Telegram message spreads rumor that Chandrayaan mission update will be enforced across India starting next month.,0
Central Board of Direct Taxes reviewed pension scheme updates after detailed review and official confirmation.,1
a YouTube video without sources misleads saying Gaganyaan human spaceflight program will be enforced across India starting next month.,0
Indian Meteorological Department launched public healthcare insurance scheme after detailed review and official confirmation.,1
a viral WhatsApp forward claims railway ticket booking reforms will be enforced across India starting next month.,0
Telecom Regulatory Authority of India introduced fuel price regulation after detailed review and official confirmation.,1
a YouTube video without sources leaks minimum support price revision will be enforced across India starting next month.,0
Indian Railways announced pension scheme updates after detailed review and official confirmation.,1
a viral Instagram reel reveals railway ticket booking reforms will be enforced across India starting next month.,0
ISRO published minimum support price revision after detailed review and official confirmation.,1
a forwarded social media message asserts without evidence that Aadhaar data protection policy will be enforced across India starting next month.,0
Ministry of Education confirmed railway ticket booking reforms after detailed review and official confirmation.,1
an anonymous Telegram message falsely states defence procurement policy will be enforced across India starting next month.,0
